Disease:sickle-cell_disease	Target:humanized_igg2	Drug:selg2
Disease:breast_cancer	Target:cytochrome_p450_19	Drug:fadrozole
Disease:breast_cancer	Target:estrogen_synthetase	Drug:fadrozole
Disease:breast_cancer	Target:p-450arom	Drug:fadrozole
Disease:breast_cancer	Target:aromatase	Drug:fadrozole
Disease:breast_cancer	Target:estradiol_receptor	Drug:era-923
Disease:breast_cancer	Target:estrogen_receptor_alpha	Drug:era-923
Disease:breast_cancer	Target:er-alpha	Drug:era-923
Disease:breast_cancer	Target:eralpha	Drug:era-923
Disease:breast_cancer	Target:er	Drug:era-923
Disease:breast_cancer	Target:oestrogen_receptor_alpha	Drug:era-923
Disease:breast_cancer	Target:oestrogen_receptor	Drug:era-923
Disease:breast_cancer	Target:estrogen_receptor	Drug:era-923
Disease:breast_cancer	Target:cypxix	Drug:formestane
Disease:breast_cancer	Target:cytochrome_p450_19	Drug:formestane
Disease:breast_cancer	Target:estrogen_synthetase	Drug:formestane
Disease:breast_cancer	Target:p-450arom	Drug:formestane
Disease:breast_cancer	Target:aromatase	Drug:formestane
Disease:breast_cancer	Target:estradiol_receptor	Drug:arn-810
Disease:breast_cancer	Target:estrogen_receptor_alpha	Drug:arn-810
Disease:breast_cancer	Target:er-alpha	Drug:arn-810
Disease:breast_cancer	Target:eralpha	Drug:arn-810
Disease:breast_cancer	Target:er	Drug:arn-810
Disease:breast_cancer	Target:oestrogen_receptor_alpha	Drug:arn-810
Disease:breast_cancer	Target:oestrogen_receptor	Drug:arn-810
Disease:breast_cancer	Target:estrogen_receptor	Drug:arn-810
Disease:breast_cancer	Target:hrt	Drug:nb1011
Disease:breast_cancer	Target:ok/sw-cl.29	Drug:nb1011
Disease:breast_cancer	Target:t	Drug:nb1011
Disease:breast_cancer	Target:thymidylate_synthase	Drug:nb1011
Disease:breast_cancer	Target:human_recombinant_thymidylate_synthase	Drug:nb1011
Disease:breast_cancer	Target:tsase	Drug:nb1011
Disease:breast_cancer	Target:asc	Drug:coumate
Disease:breast_cancer	Target:estrogen_synthetase	Drug:coumate
Disease:breast_cancer	Target:p-450arom	Drug:coumate
Disease:breast_cancer	Target:steroid_sulfatase	Drug:coumate
Disease:breast_cancer	Target:estrone_sulfatase	Drug:coumate
Disease:breast_cancer	Target:arylsulfatase_c	Drug:coumate
Disease:breast_cancer	Target:steryl-sulfate_sulfohydrolase	Drug:coumate
Disease:breast_cancer	Target:cypxix	Drug:coumate
Disease:breast_cancer	Target:cytochrome_p450_19	Drug:coumate
Disease:breast_cancer	Target:aromatase	Drug:coumate
Disease:breast_cancer	Target:steryl-sulfatase	Drug:coumate
Disease:breast_cancer	Target:st	Drug:coumate
Disease:breast_cancer	Target:estradiol_receptor	Drug:arzoxifene
Disease:breast_cancer	Target:oestrogen_receptor	Drug:arzoxifene
Disease:breast_cancer	Target:estrogen_receptor_alpha	Drug:arzoxifene
Disease:breast_cancer	Target:er-alpha	Drug:arzoxifene
Disease:breast_cancer	Target:oestrogen_receptor_beta	Drug:arzoxifene
Disease:breast_cancer	Target:er	Drug:arzoxifene
Disease:breast_cancer	Target:estrogen_receptor_beta	Drug:arzoxifene
Disease:breast_cancer	Target:erbeta	Drug:arzoxifene
Disease:breast_cancer	Target:estrogen_receptor	Drug:arzoxifene
Disease:breast_cancer	Target:beta-1	Drug:arzoxifene
Disease:breast_cancer	Target:er-beta	Drug:arzoxifene
Disease:breast_cancer	Target:oestrogen_receptor_alpha	Drug:arzoxifene
Disease:breast_cancer	Target:eralpha	Drug:arzoxifene
Disease:breast_cancer	Target:epidermal_growth_factor_receptor	Drug:hki-272
Disease:breast_cancer	Target:erbb2	Drug:hki-272
Disease:breast_cancer	Target:epidermal_growth_factor_receptor_2	Drug:hki-272
Disease:breast_cancer	Target:her-2	Drug:hki-272
Disease:breast_cancer	Target:erb2	Drug:hki-272
Disease:breast_cancer	Target:receptor_protein-tyrosine_kinase_erbb-2	Drug:hki-272
Disease:breast_cancer	Target:epidermal_growth_factor_receptor_erbb-1	Drug:hki-272
Disease:breast_cancer	Target:c-erbb-2_oncoprotein	Drug:hki-272
Disease:breast_cancer	Target:neu_proto-oncogene	Drug:hki-272
Disease:breast_cancer	Target:egfr	Drug:hki-272
Disease:breast_cancer	Target:tyrosine_kinase_receptor_erbb2	Drug:hki-272
Disease:breast_cancer	Target:p185erbb2	Drug:hki-272
Disease:breast_cancer	Target:her2_(erbb2/neu)	Drug:hki-272
Disease:breast_cancer	Target:egfr-tk	Drug:hki-272
Disease:breast_cancer	Target:receptor_protein-tyrosine_kinase_erbb-1	Drug:hki-272
Disease:breast_cancer	Target:her2/neu	Drug:hki-272
Disease:breast_cancer	Target:tyrosine_kinase-type_cell_surface_receptor_her2	Drug:hki-272
Disease:breast_cancer	Target:mln_19	Drug:hki-272
Disease:breast_cancer	Target:c-erbb-2	Drug:hki-272
Disease:breast_cancer	Target:epidermal_growth_factor_receptor-tyrosine_kinase	Drug:hki-272
Disease:breast_cancer	Target:erbb2	Drug:azd8931
Disease:breast_cancer	Target:epidermal_growth_factor_receptor_2	Drug:azd8931
Disease:breast_cancer	Target:receptor_protein-tyrosine_kinase_erbb-2	Drug:azd8931
Disease:breast_cancer	Target:erb2	Drug:azd8931
Disease:breast_cancer	Target:c-erbb-2_oncoprotein	Drug:azd8931
Disease:breast_cancer	Target:neu_proto-oncogene	Drug:azd8931
Disease:breast_cancer	Target:tyrosine_kinase_receptor_erbb2	Drug:azd8931
Disease:breast_cancer	Target:p185erbb2	Drug:azd8931
Disease:breast_cancer	Target:her2_(erbb2/neu)	Drug:azd8931
Disease:breast_cancer	Target:her-2	Drug:azd8931
Disease:breast_cancer	Target:tyrosine_kinase-type_cell_surface_receptor_her2	Drug:azd8931
Disease:breast_cancer	Target:mln_19	Drug:azd8931
Disease:breast_cancer	Target:c-erbb-2	Drug:azd8931
Disease:breast_cancer	Target:her2/neu	Drug:azd8931
Disease:breast_cancer	Target:epidermal_growth_factor_receptor	Drug:varlitinib
Disease:breast_cancer	Target:receptor_tyrosine-protein_kinase_erbb-2	Drug:varlitinib
Disease:breast_cancer	Target:epidermal_growth_factor_receptor_erbb-1	Drug:varlitinib
Disease:breast_cancer	Target:egfr-tk	Drug:varlitinib
Disease:breast_cancer	Target:erbb2_tyrosine_kinase_receptor	Drug:varlitinib
Disease:breast_cancer	Target:egfr	Drug:varlitinib
Disease:breast_cancer	Target:p185erbb2	Drug:varlitinib
Disease:breast_cancer	Target:proto-oncogene_neu	Drug:varlitinib
Disease:breast_cancer	Target:receptor_protein-tyrosine_kinase_erbb-1	Drug:varlitinib
Disease:breast_cancer	Target:proto-oncogene_c-erbb-2	Drug:varlitinib
Disease:breast_cancer	Target:metastatic_lymph_node_gene_19_protein	Drug:varlitinib
Disease:breast_cancer	Target:tyrosine_kinase-type_cell_surface_receptor_her2	Drug:varlitinib
Disease:breast_cancer	Target:mln_19	Drug:varlitinib
Disease:breast_cancer	Target:cd340	Drug:varlitinib
Disease:breast_cancer	Target:epidermal_growth_factor_receptor-tyrosine_kinase	Drug:varlitinib
Disease:breast_cancer	Target:heat_shock_protein_hsp_90	Drug:17aag
Disease:breast_cancer	Target:erbb2	Drug:mm-302
Disease:breast_cancer	Target:epidermal_growth_factor_receptor_2	Drug:mm-302
Disease:breast_cancer	Target:receptor_protein-tyrosine_kinase_erbb-2	Drug:mm-302
Disease:breast_cancer	Target:erb2	Drug:mm-302
Disease:breast_cancer	Target:c-erbb-2_oncoprotein	Drug:mm-302
Disease:breast_cancer	Target:neu_proto-oncogene	Drug:mm-302
Disease:breast_cancer	Target:tyrosine_kinase_receptor_erbb2	Drug:mm-302
Disease:breast_cancer	Target:p185erbb2	Drug:mm-302
Disease:breast_cancer	Target:her2_(erbb2/neu)	Drug:mm-302
Disease:breast_cancer	Target:her-2	Drug:mm-302
Disease:breast_cancer	Target:tyrosine_kinase-type_cell_surface_receptor_her2	Drug:mm-302
Disease:breast_cancer	Target:mln_19	Drug:mm-302
Disease:breast_cancer	Target:c-erbb-2	Drug:mm-302
Disease:breast_cancer	Target:her2/neu	Drug:mm-302
Disease:muscular_atrophy	Target:troponin_t,_fast_skeletal_muscle	Drug:ck-2127107
Disease:muscular_atrophy	Target:beta-tntf	Drug:ck-2127107
Disease:muscular_atrophy	Target:tnnc2	Drug:ck-2127107
Disease:muscular_atrophy	Target:troponin_i,_fast-twitch_isoform	Drug:ck-2127107
Disease:muscular_atrophy	Target:tnnt3	Drug:ck-2127107
Disease:muscular_atrophy	Target:tnni2	Drug:ck-2127107
Disease:muscular_atrophy	Target:ftnt	Drug:ck-2127107
Disease:muscular_atrophy	Target:troponin_i,_fast_skeletal_muscle	Drug:ck-2127107
Disease:muscular_atrophy	Target:troponin_c,_skeletal_muscle	Drug:ck-2127107
Disease:muscular_atrophy	Target:fast_skeletal_muscle_troponin_t	Drug:ck-2127107
Disease:muscular_atrophy	Target:tntf	Drug:ck-2127107
Disease:muscular_atrophy	Target:fast_skeletal_muscle_troponin_complex	Drug:ck-2127107
Disease:muscular_atrophy	Target:myostatin	Drug:ly2495655
Disease:muscular_atrophy	Target:growth/differentiation_factor_8	Drug:ly2495655
Disease:muscular_atrophy	Target:gdf-8	Drug:ly2495655
Disease:acute_lymphoblastic_leukemia	Target:abelson_murine_leukemia_viral_oncogene_homolog_1	Drug:dcc-2036
Disease:acute_lymphoblastic_leukemia	Target:abl	Drug:dcc-2036
Disease:acute_lymphoblastic_leukemia	Target:abelson_tyrosine-protein_kinase_1	Drug:dcc-2036
Disease:acute_lymphoblastic_leukemia	Target:tyrosine-protein_kinase_abl1	Drug:dcc-2036
Disease:acute_lymphoblastic_leukemia	Target:p150	Drug:dcc-2036
Disease:acute_lymphoblastic_leukemia	Target:proto-oncogene_c-abl	Drug:dcc-2036
Disease:acute_lymphoblastic_leukemia	Target:cd3	Drug:mgd006
Disease:acute_lymphoblastic_leukemia	Target:t-cell_receptor_t3_gamma_chain	Drug:mgd006
Disease:acute_lymphoblastic_leukemia	Target:cd3g	Drug:mgd006
Disease:acute_lymphoblastic_leukemia	Target:t-cell_surface_glycoprotein_cd3_gamma_chain	Drug:mgd006
Disease:insomnia	Target:hfgan72_receptor	Drug:mk-4305
Disease:insomnia	Target:orexin-1_receptor	Drug:mk-4305
Disease:insomnia	Target:hypocretin_receptor_type_1	Drug:mk-4305
Disease:insomnia	Target:ox1r	Drug:mk-4305
Disease:insomnia	Target:orexin_receptor_type_1	Drug:mk-4305
Disease:insomnia	Target:7-transmembrane_g-protein_coupled_neuropeptide_receptor	Drug:mk-4305
Disease:insomnia	Target:hfgan72_receptor	Drug:gsk649868
Disease:insomnia	Target:orexin-1_receptor	Drug:gsk649868
Disease:insomnia	Target:hypocretin_receptor_type_1	Drug:gsk649868
Disease:insomnia	Target:ox1r	Drug:gsk649868
Disease:insomnia	Target:orexin_receptor_type_1	Drug:gsk649868
Disease:insomnia	Target:7-transmembrane_g-protein_coupled_neuropeptide_receptor	Drug:gsk649868
Disease:insomnia	Target:hfgan72_receptor	Drug:sb-649868
Disease:insomnia	Target:orexin-1_receptor	Drug:sb-649868
Disease:insomnia	Target:hypocretin_receptor_type_1	Drug:sb-649868
Disease:insomnia	Target:ox1r	Drug:sb-649868
Disease:insomnia	Target:orexin_receptor_type_1	Drug:sb-649868
Disease:insomnia	Target:7-transmembrane_g-protein_coupled_neuropeptide_receptor	Drug:sb-649868
Disease:insomnia	Target:melatonin_receptor	Drug:neu-p11
Disease:insomnia	Target:mel-1b-r	Drug:tasimelteon
Disease:insomnia	Target:mtnr1a	Drug:tasimelteon
Disease:insomnia	Target:mtnr1b	Drug:tasimelteon
Disease:insomnia	Target:melatonin_receptor_type_1a	Drug:tasimelteon
Disease:insomnia	Target:mel1a_receptor	Drug:tasimelteon
Disease:insomnia	Target:melatonin_receptor_type_1b	Drug:tasimelteon
Disease:insomnia	Target:mel1ar	Drug:tasimelteon
Disease:insomnia	Target:mel1b_melatonin_receptor	Drug:tasimelteon
Disease:antiseptic	Target:cnga2	Drug:dequalinium
Disease:antiseptic	Target:kca2.3	Drug:dequalinium
Disease:antiseptic	Target:kca2.2	Drug:dequalinium
Disease:antiseptic	Target:cnga1	Drug:dequalinium
Disease:antiseptic	Target:kca2.1	Drug:dequalinium
Disease:stroke	Target:cpu	Drug:ds-1040
Disease:stroke	Target:carboxypeptidase_b2	Drug:ds-1040
Disease:stroke	Target:pcpb	Drug:ds-1040
Disease:stroke	Target:tafi	Drug:ds-1040
Disease:stroke	Target:carboxypeptidase_u	Drug:ds-1040
Disease:stroke	Target:plasma_carboxypeptidase_b	Drug:ds-1040
Disease:pachyonychia	Target:cytokeratin6a_(mrna)	Drug:td-101
Disease:pachyonychia	Target:mrna_of_keratin_6a	Drug:td-101
Disease:pachyonychia	Target:k6a_(mrna)	Drug:td-101
Disease:pachyonychia	Target:ck6a_(mrna)	Drug:td-101
Disease:pachyonychia	Target:keratin,_type_ii_cytoskeletal_6a_(mrna)	Drug:td-101
Disease:pachyonychia	Target:krt6a_(mrna)	Drug:td-101
Disease:pachyonychia	Target:cytokeratin6d_(mrna)	Drug:td-101
Disease:pachyonychia	Target:keratin6a_(mrna)	Drug:td-101
Disease:pachyonychia	Target:hom_s_5_(mrna)	Drug:td-101
Disease:pachyonychia	Target:ck6d_(mrna)	Drug:td-101
Disease:pachyonychia	Target:typeii_keratin_kb6_(mrna)	Drug:td-101
Disease:postoperative_pain	Target:inhibiting_the_induction_of_nitric_oxide_synthase	Drug:hp-228
Disease:ebola_virus_infection	Target:vp24_(mrna)	Drug:avi-7537
Disease:ebola_virus_infection	Target:mrna_of_ebola_virus_vp24	Drug:avi-7537
Disease:ebola_virus_infection	Target:membraneassociated_protein_vp24_(mrna)	Drug:avi-7537
Disease:cutaneous_t-cell_lymphoma	Target:pde46	Drug:d-4418
Disease:cutaneous_t-cell_lymphoma	Target:dpde2	Drug:d-4418
Disease:arteriosclerosi	Target:mrna_of_integrin_beta_3	Drug:gantofiban
Disease:arteriosclerosi	Target:itgb3_(mrna)	Drug:gantofiban
Disease:arteriosclerosi	Target:cd61_(mrna)	Drug:gantofiban
Disease:arteriosclerosi	Target:integrin_beta3_(mrna)	Drug:gantofiban
Disease:arteriosclerosi	Target:platelet_membrane_glycoprotein_iiia_(mrna)	Drug:gantofiban
Disease:arteriosclerosi	Target:gpiiia_(mrna)	Drug:gantofiban
Disease:hepatitis_b_virus_infection	Target:cytokine_receptor_family_2_member_1	Drug:zadaxin/lamivudine
Disease:hepatitis_b_virus_infection	Target:ifnalpha/beta_receptor_1	Drug:zadaxin/lamivudine
Disease:hepatitis_b_virus_infection	Target:crf21	Drug:zadaxin/lamivudine
Disease:hepatitis_b_virus_infection	Target:cytokine_receptor_classii_member_1	Drug:zadaxin/lamivudine
Disease:hepatitis_b_virus_infection	Target:interferon_alpha/beta_receptor_1	Drug:zadaxin/lamivudine
Disease:hepatitis_b_virus_infection	Target:ifnr1	Drug:zadaxin/lamivudine
Disease:hepatitis_b_virus_infection	Target:type_i_interferon_receptor_1	Drug:zadaxin/lamivudine
Disease:hepatitis_b_virus_infection	Target:ifn-alphar	Drug:zadaxin/lamivudine
Disease:hepatitis_b_virus_infection	Target:ifnar1	Drug:zadaxin/lamivudine
Disease:hepatitis_b_virus_infection	Target:rig1	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:nucleotidebinding_oligomerization_domaincontaining_protein_2	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:caspase_recruitment_domaincontaining_protein_15	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:nod2	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:rigi	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:probable_atpdependent_rna_helicase_ddx58	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:retinoic_acid-inducible_gene-1_(rig-1)	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:dead_box_protein_58	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:rlr1	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:pattern_recognition_receptor_nod2	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:retinoic_acidinducible_gene_1_protein	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:ddx58	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:rigilike_receptor_1	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:inflammatory_bowel_disease_protein_1	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:retinoic_acidinducible_gene_i_protein	Drug:sb-9200
Disease:hepatitis_b_virus_infection	Target:mrna_of_hbv	Drug:isis-hbv
Disease:ischemic_reperfusion_injury	Target:npkc-epsilon	Drug:kai-1455
Disease:ischemic_reperfusion_injury	Target:protein_kinase_c,_epsilon_type	Drug:kai-1455
Disease:ischemic_reperfusion_injury	Target:protein_kinase_c_epsilon	Drug:kai-1455
Disease:ischemic_reperfusion_injury	Target:pkc_epsilon	Drug:kai-1455
Disease:nausea_and_vomiting	Target:5-ht3_receptor	Drug:y-25130
Disease:nausea_and_vomiting	Target:5-ht3r	Drug:y-25130
Disease:nausea_and_vomiting	Target:5-hydroxytryptamine_3_receptor	Drug:y-25130
Disease:nausea_and_vomiting	Target:5-hydroxytryptamine_receptor_type_3	Drug:y-25130
Disease:nausea_and_vomiting	Target:serotonin-gated_ion_channel_receptor	Drug:y-25130
Disease:nausea_and_vomiting	Target:5-ht-3	Drug:y-25130
Disease:nausea_and_vomiting	Target:5-hydroxytryptamine_receptor_3	Drug:y-25130
Disease:exudative_age-related_macular_degeneration	Target:serpin-f1	Drug:adpedr
Disease:exudative_age-related_macular_degeneration	Target:epc-1	Drug:adpedr
Disease:exudative_age-related_macular_degeneration	Target:pigment_epithelium-derived_factor	Drug:adpedr
Disease:exudative_age-related_macular_degeneration	Target:pedf	Drug:adpedr
Disease:exudative_age-related_macular_degeneration	Target:mrna_of_vegfr1	Drug:sirna-027
Disease:exudative_age-related_macular_degeneration	Target:mrna_of_flt-1	Drug:sirna-027
Disease:exudative_age-related_macular_degeneration	Target:mrna_of_tyrosine-protein_kinase_receptor_flt	Drug:sirna-027
Disease:exudative_age-related_macular_degeneration	Target:mrna_of_tyrosine-protein_kinase_frt	Drug:sirna-027
Disease:exudative_age-related_macular_degeneration	Target:mrna_of_vegfr-1	Drug:sirna-027
Disease:exudative_age-related_macular_degeneration	Target:mrna_of_fms-like_tyrosine_kinase_1	Drug:sirna-027
Disease:exudative_age-related_macular_degeneration	Target:mrna_of_vascular_permeability_factor_receptor	Drug:sirna-027
Disease:exudative_age-related_macular_degeneration	Target:mrna_of_vascular_endothelial_growth_factor_receptor_1	Drug:sirna-027
Disease:exudative_age-related_macular_degeneration	Target:mrna_of_flt1	Drug:sirna-027
Disease:exudative_age-related_macular_degeneration	Target:mrna_of_vascular_endothelial_growth_factor_a165_isoform	Drug:bevasiranib
Disease:myeloma	Target:death_receptor_4	Drug:mapatumumab
Disease:myeloma	Target:tumor_necrosis_factor_receptor_superfamily_member_10a	Drug:mapatumumab
Disease:myeloma	Target:tnf-related_apoptosis-inducing_ligand_receptor_1	Drug:mapatumumab
Disease:myeloma	Target:cd261	Drug:mapatumumab
Disease:myeloma	Target:trail_receptor_1	Drug:mapatumumab
Disease:myeloma	Target:trail-r1	Drug:mapatumumab
Disease:idiopathic_pulmonary_fibrosi	Target:triple_angiokinase	Drug:nintedanib
Disease:idiopathic_pulmonary_fibrosi	Target:anti-fibrotic_kinase	Drug:nintedanib
Disease:metabolic_disease	Target:peroxisome_proliferator_activated_receptor_beta/delta	Drug:kd3010
Disease:metabolic_disease	Target:nuclear_hormone_receptor_1	Drug:kd3010
Disease:metabolic_disease	Target:peroxisome_proliferator_activated_receptor_delta	Drug:kd3010
Disease:metabolic_disease	Target:ppar-delta	Drug:kd3010
Disease:metabolic_disease	Target:nuc1	Drug:kd3010
Disease:metabolic_disease	Target:nuci	Drug:kd3010
Disease:metabolic_disease	Target:ppardelta	Drug:kd3010
Disease:metabolic_disease	Target:peroxisome_proliferator-activated_receptor_beta	Drug:kd3010
Disease:metabolic_disease	Target:ppar-beta	Drug:kd3010
Disease:essential_thrombocythemia	Target:jak1	Drug:ruxolitinib
Disease:essential_thrombocythemia	Target:janus_kinase_1	Drug:ruxolitinib
Disease:essential_thrombocythemia	Target:tyrosine-protein_kinase_jak1	Drug:ruxolitinib
Disease:renal_cell_carcinoma	Target:macrophage_elastase	Drug:neovastat
Disease:renal_cell_carcinoma	Target:mmp-12	Drug:neovastat
Disease:renal_cell_carcinoma	Target:hme	Drug:neovastat
Disease:renal_cell_carcinoma	Target:gelatinase_a	Drug:neovastat
Disease:renal_cell_carcinoma	Target:92_kda_gelatinase	Drug:neovastat
Disease:renal_cell_carcinoma	Target:matrix_metalloproteinase_2	Drug:neovastat
Disease:renal_cell_carcinoma	Target:macrophage_metalloelastase	Drug:neovastat
Disease:renal_cell_carcinoma	Target:matrix_metalloproteinase-12	Drug:neovastat
Disease:renal_cell_carcinoma	Target:72_kda_gelatinase	Drug:neovastat
Disease:renal_cell_carcinoma	Target:matrix_metalloproteinase-9	Drug:neovastat
Disease:renal_cell_carcinoma	Target:gelb	Drug:neovastat
Disease:renal_cell_carcinoma	Target:matrix_metalloproteinase_9	Drug:neovastat
Disease:renal_cell_carcinoma	Target:mmp-2	Drug:neovastat
Disease:renal_cell_carcinoma	Target:gelatinase_b	Drug:neovastat
Disease:renal_cell_carcinoma	Target:mmp-9	Drug:neovastat
Disease:renal_cell_carcinoma	Target:matrix_metalloproteinase-2	Drug:neovastat
Disease:renal_cell_carcinoma	Target:92_kda_type_iv_collagenase	Drug:neovastat
Disease:renal_cell_carcinoma	Target:me	Drug:neovastat
Disease:renal_cell_carcinoma	Target:72_kda_type_iv_collagenase	Drug:neovastat
Disease:renal_cell_carcinoma	Target:tbe-1	Drug:neovastat
Disease:renal_cell_carcinoma	Target:cd27_ligand	Drug:sgn-75
Disease:renal_cell_carcinoma	Target:cd70_antigen	Drug:sgn-75
Disease:renal_cell_carcinoma	Target:tumor_necrosis_factor_ligand_superfamily_member_7	Drug:sgn-75
Disease:renal_cell_carcinoma	Target:cd27-l	Drug:sgn-75
Disease:renal_cell_carcinoma	Target:cd70	Drug:sgn-75
Disease:renal_cell_carcinoma	Target:hgf-sf_receptor	Drug:cabozantinib
Disease:renal_cell_carcinoma	Target:c-met_receptor_tyrosine_kinase	Drug:cabozantinib
Disease:renal_cell_carcinoma	Target:c-met	Drug:cabozantinib
Disease:renal_cell_carcinoma	Target:hgf_receptor	Drug:cabozantinib
Disease:renal_cell_carcinoma	Target:hepatocyte_growth_factor_receptor	Drug:cabozantinib
Disease:renal_cell_carcinoma	Target:met_proto-oncogene_tyrosine_kinase	Drug:cabozantinib
Disease:chronic_lymphocytic_leukemia	Target:tetraspanin26	Drug:tru-016
Disease:chronic_lymphocytic_leukemia	Target:tspan26	Drug:tru-016
Disease:chronic_lymphocytic_leukemia	Target:leukocyte_antigen_cd37	Drug:tru-016
Disease:chronic_lymphocytic_leukemia	Target:cd37	Drug:tru-016
Disease:anemia	Target:full-length_form	Drug:hematide
Disease:anemia	Target:epo-r	Drug:hematide
