TTDDRUGID	LNM	Indication	ICD9	ICD10
DAP000049	Pemetrexed	Malignant pleural mesothelioma	163	C45
DAP000049	Pemetrexed	Pleural mesothelioma	163	C45
DAP000050	Idarubicin	Acute myeloid leukemia	205.0, 238.7	C92.0, D46
DAP000051	Sertraline	Depression	311	F32
DAP000052	Bupropion	Depression	311	F32
DAP000053	Orlistat	Obesity	278	E66
DAP000054	Venlafaxine	Depression	311	F32
DAP000055	Ethambutol	Tuberculosis	010-018	A15-A19
DAP000056	Foscarnet	Herpes viruses	053, 054	B00, B02
DAP000057	Mitoxantrone	Cancers	140-239	C00-C96
DAP000058	Terlipressin	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000059	Guanadrel Sulfate	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000060	Adefovir Dipivoxil	Hepatitis B virus infection	070.2-070.3	B16, B18.0, B18.1
DAP000061	Phenobarbital	Seizures	345.9, 780.3	G40, P90, R56
DAP000062	Oxaliplatin	Colorectal cancer	153, 154	C18-C21
DAP000063	Frovatriptan	Migraine headaches	346	G43
DAP000064	Lofexidine	Heroin and opiate withdrawal	304	F10-F19
DAP000065	Carteolol	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000066	Epinephrine	Allergy	995.3	T78.4
DAP000066	Epinephrine	Sepsis	995.0, 995.91	A40, A41, T78.2
DAP000068	Ropinirole	Parkinson's disease	332	F02.3, G20
DAP000069	Pergolide	Parkinson's disease	332	F02.3, G20
DAP000070	Ramelteon	Circadian rhythm sleep disorder	327.3, 780.55	G47.2
DAP000070	Ramelteon	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
DAP000071	Morphine	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000073	Buprenorphine	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000075	Cevimeline	Sjogren's syndrome	710.2	M35.0
DAP000076	Aripiprazole	Schizophrenia	295, 710.0	F20, M32
DAP000077	Zolmitriptan	Migraine	346	G43
DAP000078	Dihydroergotamine	Migraine headaches	346	G43
DAP000079	Ziprasidone	Schizophrenia	295, 710.0	F20, M32
DAP000080	Isoproterenol	Bradycardia; Heart block	116.0, 426.9	B40, I44-I45
DAP000081	Tranylcypromine	Depression	311	F32
DAP000082	Liothyronine	Hypothyroidism	244	E03
DAP000083	Levothyroxine	Hypothyroidism	244	E03
DAP000084	Chlordiazepoxide	Anxiety disorder	300, 311	F32, F40-F42
DAP000085	Eplerenone	Heart failure	410, 428	I21, I22, I50
DAP000086	Tamsulosin	Benign prostatic hyperplasia	600	N40
DAP000087	Yohimbine	Male impotence	302.72, 607.84	F52.2, N48.4
DAP000088	Timolol	High blood pressure	401	I10, I11, I12, I13, I15
DAP000089	Propranolol	Migraine	346	G43
DAP000091	Zafirlukast	Asthma	493	J45
DAP000092	Bicalutamide	Advanced prostatic cancer	185	C61
DAP000093	Felbamate	Epilepsy	290-319, 345	F01-F99, G40
DAP000094	Abarelix	Advanced prostate cancer	140-229, 185	C00-C96, C61
DAP000095	Anakinra	Rheumatold arthritis	714	M05-M06
DAP000096	Cetrorelix	Controlled ovarian stimulation	183	C56
DAP000097	Naloxone	Narcotic depression	304.9, 311	F19.20, F32
DAP000098	Conivaptan	Euvolemic hyponatremia	276.1	E87.1
DAP000099	Caffeine	Fatigue; Orthostatic hypotension	458.0, 780.7	I95.1, R53
DAP000100	Perphenazine	Schizophrenia; Bipolar disorder	295, 296	F20, F31
DAP000101	Loratadine	Allergy	995.3	T78.4
DAP000102	Terfenadine	Allergy	995.3	T78.4
DAP000103	Cyproheptadine	Allergy	995.3	T78.4
DAP000104	Trazodone	Depression	311	F32
DAP000105	Atracurium	General anesthesia	338	R52
DAP000107	Infliximab	Asthma	493	J45
DAP000107	Infliximab	Psoriasis; Crohn's disease; Ankylosing spondylitis; Psoriatic arthritis; Rheumatoid arthritis; Ulcerative colitis	555, 556, 556.9, 696, 696.0, 710-719, 714, 720.0	K50, K50-K52, K51, L40, L40.5, M00-M25, M05-M06, M07, M08.1, M45
DAP000108	Tamoxifen	Breast cancer	174, 175, 217	C50, D24
DAP000109	Telithromycin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000110	Tobramycin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000111	Erythromycin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000113	Filgrastim	Neutropenia	288	D70
DAP000114	Vincristine	Acute lymphoblastic leukemia	189, 204.0	C64, C91.0
DAP000115	Adapalene	Acne vulgaris	706.1	L70.0
DAP000116	Gentamicin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000117	Aztreonam	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000118	Citalopram	Depression	311	F32
DAP000119	Acetyldigitoxin	Congestive heart failure	428, 428.0	I50
DAP000120	Digitoxin	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DAP000120	Digitoxin	Congestive cardiac insufficiency; Arrhythmias; Heart failure	427, 428	I47-I49, I50
DAP000121	Lidocaine	Anesthesia	338	R52
DAP000122	Nadolol	High blood pressure; Angina	401, 413	I10, I11, I12, I13, I15, I20
DAP000123	Pancuronium	Anesthesia	338	R52
DAP000124	Guanethidine	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000125	Debrisoquin	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000128	Sodium bicarbonate	Acidosis	.	E87.2
DAP000128	Sodium bicarbonate	Metabolic acidosis	276.2	E87.2
DAP000130	Phenytoin	Seizures	345.9, 780.3	G40, P90, R56
DAP000131	Chloroprocaine	Anesthesia	338	R52
DAP000132	Glimepiride	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DAP000133	Repaglinide	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DAP000134	Isradipine	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000135	Carvedilol	Congestive heart failure	428, 428.0	I50
DAP000136	Tolbutamide	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DAP000137	Topiramate	Alcohol use disorders	303	F10.2
DAP000137	Topiramate	Epilepsy	290-319, 345	F01-F99, G40
DAP000138	Clotrimazole	Fungal infection	110-118	B35-B49
DAP000139	Amlodipine	Hypertension; Angina	401, 413	I10, I11, I12, I13, I15, I20
DAP000140	Tramadol	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000141	Ergotamine	Headache	339, 784.0	G43-G44, R51
DAP000142	Flunarizine	Migraine	346	G43
DAP000143	Minoxidil	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000144	Streptomycin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000145	Ceftriaxone	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000146	Cefotaxime	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000147	Mercaptopurine	Acute lymphocytic leukemia	204	C91.0
DAP000148	Trilostane	Cushing's disease	255	E24.0
DAP000150	Milrinone	Congestive heart failure	428, 428.0	I50
DAP000151	Drotrecogin alfa	Cerebrovascular ischaemia	434.91	I61-I63
DAP000151	Drotrecogin alfa	Severe sepsis	995.91	A40-A41
DAP000152	Diflunisal	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000153	Sulfasalazine	Inflammatory bowel dieasea; Rheumatoid arthritis	555, 556, 714	K50, K51, M05-M06
DAP000154	Miconazole	Fungal infection	110-118	B35-B49
DAP000155	Cefalotin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000156	Atovaquone	Fungal infection	110-118	B35-B49
DAP000157	Enfuvirtide	HIV infections	001-139, 042	A00-B99, B20
DAP000158	Moxifloxacin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000159	Gatifloxacin	Respiratory tract infections	460-519	J00-J99
DAP000160	Levofloxacin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000161	Sparfloxacin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DAP000162	Tacrolimus	Ocular allergy	360-379	H00-H59
DAP000162	Tacrolimus	Organ transplant rejection	279.5, 996	D89.8, T86
DAP000163	Ethchlorvynol	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
DAP000164	Tiagabine	Anxiety disorder; Insomnia	300, 307.4, 327.0	F40-F42, F51.0, G47.0
DAP000164	Tiagabine	Panic disorder; Epilepsy	300.01, 300.21, 345	F41.0, G40
DAP000165	Chloroquine	Malaria	84	B50-B54
DAP000167	Lamivudine	HIV infections; Chronic hepatitis B	042, 070.2-070.3	B16, B18.0, B18.1, B20
DAP000168	Indinavir	HIV infections	001-139, 042	A00-B99, B20
DAP000169	Ritonavir	HIV infections	001-139, 042	A00-B99, B20
DAP000170	Amprenavir	HIV infections	001-139, 042	A00-B99, B20
DAP000171	Saquinavir	HIV infections	001-139, 042	A00-B99, B20
DAP000172	Stavudine	HIV infections	001-139, 042	A00-B99, B20
DAP000173	Ribavirin	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DAP000174	Acarbose	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DAP000174	Acarbose	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DAP000175	Nicotine	Nicotine dependence	305.1	F17
DAP000176	Sibutramine	Obesity	278	E66
DAP000177	Doxepin	Depression	311	F32
DAP000179	Imatinib	Chronic myelogenous leukemia	205.1, 208.9	C91-C95, C92.1
DAP000179	Imatinib	Glioma; Lung cancer; Prostate cancer; Solid tumours	140-199, 191, 210-229	C00-C75, C71, C7A, C7B, D10-D36, D3A
DAP000179	Imatinib	Intestinal cancer; Myeloid leukemia	152, 153, 205	C17, C18, C92
DAP000180	Omeprazole	Gastroesophageal reflux disease	140-229, 530	C00-C96, K21
DAP000181	Piroxicam	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000182	Alendronate	Osteoporosis; Paget's disease	731.0, 733.0	M80-M81, M88
DAP000183	Delavirdine	HIV infections	001-139, 042	A00-B99, B20
DAP000184	Nevirapine	HIV infections	001-139, 042	A00-B99, B20
DAP000186	Fluoxetine	Depression	311	F32
DAP000187	Amiloride	Congestive heart failure; Hypertension	428	I50
DAP000188	Bendroflumethiazide	High blood pressure	401	I10, I11, I12, I13, I15
DAP000191	Cilostazol	Intermittent claudication	440.21	I73.9
DAP000192	Doxorubicin	Cancers	140-239	C00-C96
DAP000193	Epirubicin	Cancers	140-239	C00-C96
DAP000194	Thioguanine	Acute myeloid leukemia	205.0, 238.7	C92.0, D46
DAP000195	Pseudoephedrine	Nasal congestion	478.19	J34.89
DAP000197	Rifampin	Tuberculosis	010-018	A15-A19
DAP000198	L-Proline	Dietary supplement	260-269	E40-E46
DAP000199	Tranexamic Acid	Excessive bleeding	459	R58
DAP000200	Aminocaproic Acid	Excessive postoperative bleeding	459	R58
DAP000201	Magnesium Sulfate	Acute pain	338,780	R52, G89
DAP000202	Epoetin alfa	Anemia	280-285	D50-D64
DAP000203	Alteplase	Pulmonary embolism	415.1	I26
DAP000204	Tenecteplase	Myocardial infarction	410, 434.91	I21, I22, I61-I63
DAP000205	Metformin	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DAP000206	Phenformin	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DAP000207	Marinol	Anorexia	307.1	F50.0-F50.1
DAP000208	Lubiprostone	Chronic idiopathic constipation	564	K59.0
DAP000208	Lubiprostone	Constipation	564	K59.0
DAP000210	Gemfibrozil	Hyperlipidemia	272.0-272.4	E78
DAP000211	Paricalcitol	Hyperparathyroidism	252.02, 588.81	E21.1
DAP000212	Dopamine	Hypotension	458, 796.3	I95
DAP000212	Dopamine	Parkinson's disease	332	F02.3, G20
DAP000213	Codeine	Cough	786.2	R05
DAP000213	Codeine	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000214	Butorphanol	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000215	Cisplatin	Cancers	140-239	C00-C96
DAP000216	Primaquine	Malaria	84	B50-B54
DAP000217	Felypressin	Localisation	.	.
DAP000218	Almotriptan	Acute migraine	346	G43
DAP000219	Sumatriptan	Migraine headaches	346	G43
DAP000220	Rizatriptan	Acute migraine	346	G43
DAP000221	Ondansetron	Alcohol use disorders	303	F10.2
DAP000221	Ondansetron	Chemotherapy-induced nausea and vomiting	787, 787.0	R11
DAP000222	Cisapride	Gastroesophageal reflux disease	140-229, 530	C00-C96, K21
DAP000223	Adenosine	Paroxysmal supraventricular tachycardia	427, 427.0, 427.1, 427.89, 785.0	I47-I49, I47.1, I47.2, R00.0
DAP000224	Phenylephrine	Ophthalmic disorders	360-379	H00-H59
DAP000225	Metaraminol	Hypotension	458, 796.3	I95
DAP000226	Methyldopa	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000227	Ergonovine	Postpartum haemorrhage	666	O72
DAP000228	Ephedrine	Asthma; Bronchitis	466, 490, 491, 493	J20-J21, J42, J45
DAP000229	Midodrine	Orthostatic hypotension	458	I95.1
DAP000230	Meperidine	Anesthesia	338	R52
DAP000231	Clonidine	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000232	Guanabenz	High blood pressure	401	I10, I11, I12, I13, I15
DAP000233	Dexmedetomidine	Sedation	338	R52
DAP000234	Tizanidine	Spasms; Pain	338,780	R52, G89
DAP000235	Oxymetazoline	Nasal congestion	478.19	J34.89
DAP000235	Oxymetazoline	Ocular disease	.	H00-H59
DAP000236	Apraclonidine	Additional intra ocular pressure reduction	.	H40-H42
DAP000237	Lorazepam	Anxiety disorder	300, 311	F32, F40-F42
DAP000238	Temazepam	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
DAP000239	Alprazolam	Anxiety disorder	300, 311	F32, F40-F42
DAP000240	Clorazepate	Anxiety disorder; Insomnia	300, 307.4, 327.0	F40-F42, F51.0, G47.0
DAP000241	Midazolam	Sedation	338	R52
DAP000242	Flurazepam	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
DAP000243	Oxazepam	Anxiety disorder	300, 311	F32, F40-F42
DAP000244	Triazolam	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
DAP000245	Dobutamine	Heart failure; Cardiogenic shock	428.0, 785.51	I50, R57.0
DAP000246	Terbutaline	Asthma	493	J45
DAP000247	Formoterol	Asthma	493	J45
DAP000248	Salbutamol	Acute asthma	493	J45
DAP000249	Pirbuterol	Asthma	493	J45
DAP000250	Bambuterol	Asthma	493	J45
DAP000251	Cabergoline	Hyperprolactinaemia	253.1	E22.1
DAP000252	Mesoridazine	Schizophrenia	295, 710.0	F20, M32
DAP000253	Hydrocodone	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000254	Fenoldopam	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000255	Lisuride	Parkinson's disease	332	F02.3, G20
DAP000256	Cinacalcet	Cardiovascular disease; Kidney disease	390-459, 580-589	I00-I99, N00-N29
DAP000256	Cinacalcet	Hyperparathyroidism	252.02, 588.81	E21.1
DAP000257	Baclofen	Multiple sclerosis	340	G35
DAP000258	Progabide	Depression	311	F32
DAP000259	Clonazepam	Epilepsy	290-319, 345	F01-F99, G40
DAP000259	Clonazepam	Seizures	345.9, 780.3	G40, P90, R56
DAP000260	Pentagastrin	Diagnosis	331	G30,I73.9
DAP000261	Ivermectin	Intestinal strongyloidiasis due to nematode parasite	127.2	B78
DAP000262	Clofibrate	Dysbetalipoproteinemia	272.2	E78.2
DAP000263	Bethanechol	Urinary retention	788.2	R33
DAP000264	Remifentanil	General anesthesia	338	R52
DAP000265	Varenicline	Smoking cessation	292	F17.2
DAP000266	Zaleplon	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
DAP000267	Methadone	Cough	786.2	R05
DAP000267	Methadone	Opiate dependence	304	F11
DAP000268	Levorphanol	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000269	Carbetocin	Postpartum haemorrhage	666	O72
DAP000270	Fenofibrate	High cholesterol levels; High triglyceride levels	272.0, 272.1	E78.0, E78.1, E78.2, E78.3
DAP000271	Rosiglitazone	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DAP000272	Pioglitazone	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DAP000273	Iloprost	Pulmonary arterial hypertension	416	I27.0, I27.2
DAP000274	Travoprost	Open-angle glaucoma; Ocular hypertension	365, 365.04	H40-H42, H40.0
DAP000275	Alitretinoin	Kaposi's sarcoma	176	C46
DAP000276	Bexarotene	Cutaneous T-cell lymphoma	202.1, 202.2, 202.8, 208.9	C81-C96, C84.0, C84.1, C91-C95
DAP000277	Dextromethorphan	Cough; Pain	338, 786.2,780	R05, R52, G89
DAP000278	Imiquimod	Skin cancers	172, 173	C43, C44
DAP000279	Ibutilide	Atrial fibrillation	272, 427.31	E78, I48
DAP000282	Bromocriptine	Parkinson's disease	332	F02.3, G20
DAP000283	Oxycodone	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DAP000284	Cosyntropin	Adrenocortical insufficiency	255.4	E27.1-E27.4
DAP000285	Eptifibatide	Acute cardiac ischemic events	410	I21, I22
DAP000286	Pegvisomant	Acromegaly	253	E22.0
DAP000287	Mecasermin	Growth failure	.	R62.8
DAP000287	Mecasermin	IGF-1 deficiency	259.4	E34.3
DAP000288	Glycine	Dietary shortage	260-269	E40-E46
DAP000290	Calcidiol	Vitamin D deficiency	268	E55
DAP000291	Ergocalciferol	Hypoparathyroidism	252.1	E20, E89.2, P71.4
DAP000292	Calcipotriol	Psoriasis	696	L40
DAP000293	Mianserin	Depression	311	F32
DAP000294	Triflupromazine	Psychoses	290-299	F20-F29
DAP000295	Granisetron	Nausea; Vomiting	787, 787.0	R11
DAP000296	Procaine	Anesthesia	338	R52
DAP000297	Spironolactone	Congestive heart failure	428, 428.0	I50
DAP000298	Dapiprazole	Mydriasis	379.43	H57.0
DAP000299	Phentolamine	Dermal necrosis	.	K05
DAP000300	Prazosin	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000301	Flutamide	Prostate cancer	140-229, 185	C00-C96, C61
DAP000302	Nilutamide	Prostate cancer	140-229, 185	C00-C96, C61
DAP000303	Levobunolol	Open-angle glaucoma	365	H40-H42
DAP000304	Esmolol	Acute supraventricular tachycardia	427.0, 427.89	I47.1
DAP000305	Betaxolol	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DAP000306	Nimodipine	Cerebral vasospasm	443.9	I73.9
DAP000307	Rimonabant	Obesity	278	E66
DAP000308	Maraviroc	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DAP000308	Maraviroc	HIV infections	001-139, 042	A00-B99, B20
DAP000308	Maraviroc	Human immunodeficiency virus infection	279.3	D84.9
DAP000309	Montelukast	Asthma	493	J45
DAP000310	Sulpiride	Schizophrenia	295, 710.0	F20, M32
DAP000311	Loxapine	Psychotic disorders	290-299	F20-F29
DAP000312	Remoxipride	Schizophrenia	295, 710.0	F20, M32
DAP000313	Haloperidol	Schizophrenia	295, 710.0	F20, M32
DAP000314	Aminolevulinic acid	Photodynamic therapy	706.1	L70.0
DAP000315	Thiethylperazine	Nausea; Vomiting	787, 787.0	R11
DAP000316	Pimozide	Schizophrenia	295, 710.0	F20, M32
DAP000317	Domperidone	Gastrointestinal problems	536, 750	K30-K31, Q40-Q41
DAP000318	Thiothixene	Schizophrenia	295, 710.0	F20, M32
DAP000319	Fulvestrant	Breast cancer	174, 175, 217	C50, D24
DAP000320	Budesonide	Asthma; Non-infectious rhinitis	472.0, 477, 493	J00, J30, J31.0, J45
DAP000321	Amlexanox	Aphthous ulcers	528.2	K12.0
DAP000321	Amlexanox	Respiratory tract inflammation	.	J00-J99
DAP000322	Clemastine	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
DAP000323	Cetirizine	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
DAP000324	Hydroxyzine	Anxiety disorder	300, 311	F32, F40-F42
DAP000325	Cinnarizine	Vertigo meniere's disease	386.0, 438.85, 780.4	H81, H81.0, R42
DAP000326	Astemizole	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
DAP000327	Propiomazine	Anxiety disorder	300, 311	F32, F40-F42
DAP000327	Propiomazine	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
DAP000328	Tripelennamine	Asthma	493	J45
DAP000329	Ketotifen	Allergic conjunctivitis	204.0, 372.0, 372.14, 995.3	C91.0, H10, H10.45, T78.4
DAP000330	Fexofenadine	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
DAP000331	Desloratadine	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
DAP000332	Azelastine	Allergic conjunctivitis	204.0, 372.0, 372.14, 995.3	C91.0, H10, H10.45, T78.4
DAP000333	Dimenhydrinate	Nausea; Vomiting	787, 787.0	R11
DAP000334	Promethazine	Allergic disorders; Itching; Nausea and vomiting	698, 787, 787.0, 995.3	L29, R11, T78.4
DAP000335	Levocabastine	Allergic conjunctivitis	204.0, 372.0, 372.14, 995.3	C91.0, H10, H10.45, T78.4
