TTDTargetID	Target_Name	Indication	ICD9	ICD10
TTDS00008	Vascular endothelial growth factor receptor 2	Angiogenesis	.	.
TTDS00008	Vascular endothelial growth factor receptor 2	Cancer	140-229	C00-C96
TTDC00009	5-hydroxy-tryptamine 3B receptor	Diarrhea	787.91	A09, K59.1
TTDC00009	5-hydroxy-tryptamine 3B receptor	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
TTDR00010	Diamine oxidase	Diabetic nephropathy	250, 250.4, 580-599	E08-E13, E10.2, E11.2, E13.2, N00-N29
TTDS00010	Dopamine receptor	Hypotension	458, 796.3	I95
TTDS00010	Dopamine receptor	Nausea and vomiting	787, 787.0	R11
TTDS00010	Dopamine receptor	Neuroleptic malignant syndrome	.	.
TTDS00010	Dopamine receptor	Neurotensin-like immunoreactivity	.	.
TTDS00010	Dopamine receptor	Schizophrenia	295, 710.0	F20, M32
TTDC00010	Serine/threonine-protein kinase Chk2	Solid tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDS00011	Dopamine D1 receptor	Parkinson's disease	332	F02.3, G20
TTDR00011	FMLP receptor	Gastric ulcer	531	K25
TTDS00012	D(2) dopamine receptor	Anxiety disorders	300	F40-F42
TTDS00012	D(2) dopamine receptor	Attention deficit hyperactivity disorder	314.00, 314.01	F90
TTDS00012	D(2) dopamine receptor	Cocaine dependence	304.2, 311	F14.2, F32
TTDS00012	D(2) dopamine receptor	Cognitive deficits	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, R41.3
TTDS00012	D(2) dopamine receptor	Delusional disorder	297.1	F22.0
TTDS00012	D(2) dopamine receptor	Depression	311	F32
TTDS00012	D(2) dopamine receptor	Disabling peak-dose dyskinesias	333.8	G24.9
TTDS00012	D(2) dopamine receptor	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
TTDS00012	D(2) dopamine receptor	Gastric emptying disorders	.	.
TTDS00012	D(2) dopamine receptor	Gilles de la tourette's disorder	.	.
TTDS00012	D(2) dopamine receptor	Nausea and vomiting	787, 787.0	R11
TTDS00012	D(2) dopamine receptor	Neuroleptic malignant syndrome	.	.
TTDS00012	D(2) dopamine receptor	Neurological diseases	320-359	G00-G99
TTDS00012	D(2) dopamine receptor	Parkinson's disease	332	F02.3, G20
TTDS00012	D(2) dopamine receptor	Psychiatric illness	.	.
TTDS00012	D(2) dopamine receptor	Respiratory diseases	.	.
TTDS00012	D(2) dopamine receptor	Schizophrenia	295, 710.0	F20, M32
TTDS00012	D(2) dopamine receptor	Vomiting	787	R11
TTDC00012	Fibronectin	Kidney cancer	140-229	C00-C96
TTDC00012	Fibronectin	Melanoma	172.9	C43
TTDR00012	Interleukin 3 receptor	Acute myeloid leukemia	205.0, 238.7	C92.0, D46
TTDR00013	1,3-beta-D-glucan-UDP glucosyltransferase	Fungal diseases	110-118	B35-B49
TTDS00013	D(3) dopamine receptor	Drug dependence	303-305	F10-F19
TTDS00013	D(3) dopamine receptor	Neurological diseases	320-359	G00-G99
TTDS00013	D(3) dopamine receptor	Psychiatric illness	.	.
TTDS00013	D(3) dopamine receptor	Respiratory diseases	.	.
TTDS00013	D(3) dopamine receptor	Schizophrenia	295, 710.0	F20, M32
TTDC00013	Plasma kallikrein	Hereditary angioedema	277.6	D84.1
TTDR00014	Carnitine O-acetyltransferase	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDC00014	Glucosylceramidase	Metabolic disease	270-279	E70-E89
TTDS00015	D(1B) dopamine receptor	Respiratory diseases	.	.
TTDR00015	Prolyl endopeptidase	Dementia	290-294, 331.0	F01-F07, G30
TTDR00015	Prolyl endopeptidase	Neurological diseases	320-359	G00-G99
TTDC00015	Protein kinase C gamma type	Cancer	140-229	C00-C96
TTDC00015	Protein kinase C gamma type	Myeloid leukemia	208.9	C91-C95
TTDC00016	Alpha-galactosidase A	Fabry disease	272.7	E75.2
TTDS00016	Dopamine reuptake	Depression	311	F32
TTDS00016	Dopamine reuptake	Obesity	278	E66
TTDC00017	Calcitonin gene-related peptide 1	Migraine; Cluster headaches	339.00, 339.01, 339.02, 346	G43, G44.0
TTDS00017	Sodium-dependent dopamine transporter	Parkinson's disease	332	F02.3, G20
TTDR00018	3-beta-hydroxysterol delta-24-reductase	Hypercholesterolaemia	.	E78.0
TTDS00018	Gamma-aminobutyric acid receptor	Anxiety disorders	300	F40-F42
TTDS00018	Gamma-aminobutyric acid receptor	Helminth infection	001-139	A00-B99
TTDS00018	Gamma-aminobutyric acid receptor	Huntington's disease	294.1, 333.4	F02.2, G10
TTDS00018	Gamma-aminobutyric acid receptor	Hypertonia and apnoeic episodes	.	.
TTDS00018	Gamma-aminobutyric acid receptor	Mood affective disorders	.	.
TTDS00018	Gamma-aminobutyric acid receptor	Parkinson's disease	332	F02.3, G20
TTDC00018	Heat shock protein HSP 90	Breast cancer	174, 175, 217	C50, D24
TTDC00018	Heat shock protein HSP 90	Chronic myelogenous leukemia	205.1, 208.9	C91-C95, C92.1
TTDC00018	Heat shock protein HSP 90	Gastrointestinal stromal tumors	150-159	C15-C26
TTDC00018	Heat shock protein HSP 90	HER2-positive metastatic breast cancer	174, 175	C50
TTDC00018	Heat shock protein HSP 90	Hematologic malignancies	200-209	C81-C96
TTDC00018	Heat shock protein HSP 90	Melanoma	172.9	C43
TTDC00018	Heat shock protein HSP 90	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
TTDC00018	Heat shock protein HSP 90	Non-small cell lung cancer	140-229, 162, 204.0	C00-C96, C33-C34, C91.0
TTDC00018	Heat shock protein HSP 90	Ovarian cancer	140-229, 183, 185	C00-C96, C56, C61
TTDC00018	Heat shock protein HSP 90	Prostate cancer	140-229, 185	C00-C96, C61
TTDC00018	Heat shock protein HSP 90	Refractory hematological malignancies	140-239, 200-209	C00-C96, C81-C96
TTDC00018	Heat shock protein HSP 90	Solid tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDR00019	Alcohol dehydrogenase 2	Amoebiasis	6	A06
TTDR00019	Alcohol dehydrogenase 2	Giardiasis infections	001-139, 007.1	A00-B99, A07.1
TTDC00019	Cathepsin G	Alpha 1 antitrypsin deficiency	273.4	E88.0
TTDC00019	Cathepsin G	Atopic dermatitis	691.8, 692.9	L20, L20-L30
TTDC00019	Cathepsin G	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
TTDS00019	Gamma-aminobutyric acid A receptor	Alcoholism	303	F10.2
TTDS00019	Gamma-aminobutyric acid A receptor	Anxiety disorders	300	F40-F42
TTDS00019	Gamma-aminobutyric acid A receptor	Disorders of initiating and maintaining sleep	710	M32
TTDS00019	Gamma-aminobutyric acid A receptor	Dyskinesia	333.8	G24.9
TTDS00019	Gamma-aminobutyric acid A receptor	Epilepsy	290-319, 345	F01-F99, G40
TTDS00019	Gamma-aminobutyric acid A receptor	Hyperkinetic extrapyramidal movement disorders	333.9, 781.0	F44.4, F98.4, G25.8-G25.9, R25
TTDS00019	Gamma-aminobutyric acid A receptor	Neurological diseases	320-359	G00-G99
TTDS00019	Gamma-aminobutyric acid A receptor	Primary headache disorders	339, 784.0	G43-G44, R51
TTDC00020	Integrin alpha-5	Macular degeneration	362.5	H35.3
TTDR00020	Multidrug resistance-associated protein 2	Cancer	140-229	C00-C96
TTDR00021	Glycerol-3-phosphate oxidase	Trypanosomiasis	086.5-086	B56-B57
TTDR00022	3-Deoxy-D-manno-octulosonate 8-phosphate synthase 	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDS00022	Gamma-aminobutyric acid B receptor	Analgesics	338	R52
TTDS00022	Gamma-aminobutyric acid B receptor	Anxiety disorders	300	F40-F42
TTDS00022	Gamma-aminobutyric acid B receptor	Asthma	493	J45
TTDS00022	Gamma-aminobutyric acid B receptor	Cognitive deficits	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, R41.3
TTDS00022	Gamma-aminobutyric acid B receptor	Convulsions	780.3	R56.0
TTDS00022	Gamma-aminobutyric acid B receptor	Depression	311	F32
TTDS00022	Gamma-aminobutyric acid B receptor	Dyskinesia	333.8	G24.9
TTDS00022	Gamma-aminobutyric acid B receptor	Epilepsy	290-319, 345	F01-F99, G40
TTDS00022	Gamma-aminobutyric acid B receptor	Gastroesophageal reflux disease	140-229, 530	C00-C96, K21
TTDS00022	Gamma-aminobutyric acid B receptor	Hyperkinetic extrapyramidal movement disorders	333.9, 781.0	F44.4, F98.4, G25.8-G25.9, R25
TTDS00022	Gamma-aminobutyric acid B receptor	Meige's disease	.	.
TTDS00022	Gamma-aminobutyric acid B receptor	Neurological diseases	320-359	G00-G99
TTDS00022	Gamma-aminobutyric acid B receptor	Nociceptive disorders	.	.
TTDS00022	Gamma-aminobutyric acid B receptor	Parkinson's disease	332	F02.3, G20
TTDS00022	Gamma-aminobutyric acid B receptor	Psychiatric illness	.	.
TTDC00022	mRNA of Myb proto-oncogene protein	Cancer	140-229	C00-C96
TTDC00022	mRNA of Myb proto-oncogene protein	Myeloid leukemia	208.9	C91-C95
TTDR00023	DTDP-4-dehydrorhamnose 3,5-epimerase rmlC	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDS00023	Gamma-aminobutyric acid uptake	Convulsions	780.3	R56.0
TTDS00023	Gamma-aminobutyric acid uptake	Epilepsy	290-319, 345	F01-F99, G40
TTDC00023	Lysosomal alpha-glucosidase	Cardiovascular disorders	390-459	I00-I99
TTDC00023	Lysosomal alpha-glucosidase	Hepatitis C infection	070.4, 070.5, 070.70	B17.1, B18.2
TTDC00023	Lysosomal alpha-glucosidase	Type 2 diabetes	250.00, 250.02	E11
TTDS00024	4-aminobutyrate aminotransferase, mitochondrial	Convulsions	780.3	R56.0
TTDS00024	4-aminobutyrate aminotransferase, mitochondrial	Epilepsy	290-319, 345	F01-F99, G40
TTDS00024	4-aminobutyrate aminotransferase, mitochondrial	Huntington's disease	294.1, 333.4	F02.2, G10
TTDS00024	4-aminobutyrate aminotransferase, mitochondrial	Tardive dyskinesia	333.85	G24.0
TTDC00024	Basic fibroblast growth factor receptor 1	Peripheral vascular disease	443.9	I73.9
TTDC00024	Basic fibroblast growth factor receptor 1	Severe coronary heart disease	414	I25.1
TTDC00024	Basic fibroblast growth factor receptor 1	Solid tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDC00024	Basic fibroblast growth factor receptor 1	Ulcers	556	K51
TTDR00024	Probable naphthoate synthase menB	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDR00025	Cdc2-related kinase 3	Leishmania infections	001-139, 296.0, 296.4, 296.6	A00-B99, F30
TTDC00025	Phospholipase A2, membrane associated	Atherosclerosis	414.0, 440	I70
TTDC00025	Phospholipase A2, membrane associated	Coronary artery disease	410-414, 429.2	I20-I25
TTDS00026	Alpha adrenergic receptor	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
TTDS00026	Alpha adrenergic receptor	Hypertonicity of bladder	188	C67
TTDC00026	Interleukin-2 receptor subunit beta	Head and neck cancer	140-149, 140-229	C00-C96, C07-C14, C32-C33
TTDC00026	Interleukin-2 receptor subunit beta	Non-hodgkin's lymphoma	200, 202, 202.8	C81-C96, C82-C85
TTDC00026	Interleukin-2 receptor subunit beta	Solid tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDR00026	Ribonucleoside-diphosphate reductase small chain	Parasitic diseases	.	.
TTDS00027	Alpha-1 adrenergic receptor	Benign prostatic hyperplasia	600	N40
TTDS00027	Alpha-1 adrenergic receptor	Chronic cardiac failure	428	I50
TTDS00027	Alpha-1 adrenergic receptor	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
TTDS00027	Alpha-1 adrenergic receptor	Gastrointestinal disturbances	.	.
TTDS00027	Alpha-1 adrenergic receptor	Hyperlipidemia	272.0-272.4	E78
TTDS00027	Alpha-1 adrenergic receptor	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDS00027	Alpha-1 adrenergic receptor	Lower urinary tract symptoms associated with benign prostatic hyperplasia	600	N40
TTDS00027	Alpha-1 adrenergic receptor	Nasal congestion	478.19	J34.89
TTDS00027	Alpha-1 adrenergic receptor	Orthostatic hypotension	458	I95.1
TTDS00027	Alpha-1 adrenergic receptor	Prostate cancer	140-229, 185	C00-C96, C61
TTDS00027	Alpha-1 adrenergic receptor	Shy-Drager syndrome	.	.
TTDC00027	Histidine decarboxylase	Skin infections	680-709	L00-L99
TTDR00027	Possible RNA methyltransferase	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDR00028	Cell division control protein 28	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDC00028	Tissue kallikrein	Alpha 1 antitrypsin deficiency	273.4	E88.0
TTDC00028	Tissue kallikrein	Atopic dermatitis	691.8, 692.9	L20, L20-L30
TTDC00028	Tissue kallikrein	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
TTDS00029	Alpha-1B adrenergic receptor	Shy-Drager syndrome	.	.
TTDC00029	Atrial natriuretic peptide receptor B	Crohn's disease	555	K50
TTDC00029	Atrial natriuretic peptide receptor B	Heart disease	390-429	I00-I52
TTDC00029	Atrial natriuretic peptide receptor B	Inflammatory bowel disease	555, 556	K50, K51
TTDC00029	Atrial natriuretic peptide receptor B	Myocardial infarction	410, 434.91	I21, I22, I61-I63
TTDC00029	Atrial natriuretic peptide receptor B	Ulcerative colitis	556	K51
TTDR00029	Matrilysin	Cancer	140-229	C00-C96
TTDR00029	Matrilysin	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
TTDS00030	Alpha-1D adrenergic receptor	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDR00030	Glycosyltransferase MurG	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDC00030	P-glycoprotein	Acute myeloid leukemia	205.0, 238.7	C92.0, D46
TTDS00031	Alpha-2 adrenergic receptor	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDS00031	Alpha-2 adrenergic receptor	Analgesics	338	R52
TTDS00031	Alpha-2 adrenergic receptor	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
TTDS00031	Alpha-2 adrenergic receptor	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
TTDS00031	Alpha-2 adrenergic receptor	Gastrointestinal disturbances	.	.
TTDS00031	Alpha-2 adrenergic receptor	Heart failure	410, 428	I21, I22, I50
TTDS00031	Alpha-2 adrenergic receptor	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDS00031	Alpha-2 adrenergic receptor	Ischemic heart disease	410-414	I20-I25
TTDS00031	Alpha-2 adrenergic receptor	Mechanical allodynia associated with neuropathic pain of spinal origin	204.0, 338, 356.0, 356.8,780	C91.0, G64, G90.0, R52, G89
TTDS00031	Alpha-2 adrenergic receptor	Nasal congestion	478.19	J34.89
TTDS00031	Alpha-2 adrenergic receptor	Open-angle glaucoma	365	H40-H42
TTDS00031	Alpha-2 adrenergic receptor	Peri-operative ischemia	459.89	I99.8
TTDS00031	Alpha-2 adrenergic receptor	Prefrontal cognitive deficits	.	.
TTDS00031	Alpha-2 adrenergic receptor	Spasticity associated with cerebral or spinal damage	.	.
TTDS00031	Alpha-2 adrenergic receptor	Systemic sclerosis	710.1	M34
TTDS00031	Alpha-2 adrenergic receptor	Tachycardia	427, 785.0	I47-I49, R00.0
TTDS00031	Alpha-2 adrenergic receptor	Vasospastic attacks associated with idiopathic raynaud's disease	443	I73.0
TTDC00031	Integrin beta-7	Rheumatoid arthritis	710-719, 714	M05-M06
TTDR00031	Synthesis of leukotrienes	Coronary heart disease	414	I25.1
TTDS00032	Alpha-2A adrenergic receptor	Heart failure	410, 428	I21, I22, I50
TTDS00032	Alpha-2A adrenergic receptor	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDS00032	Alpha-2A adrenergic receptor	Ischemic heart disease	410-414	I20-I25
TTDR00032	Ciliary neurotrophic factor	Amyotrophic lateral sclerosis	335.20, 434.91	G12.2, I61-I63
TTDC00032	Tyrosine-protein phosphatase non-receptor type 6	Solid tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDR00033	Aldo-keto reductase family 1 member C3	Cancer	140-229	C00-C96
TTDR00033	Aldo-keto reductase family 1 member C3	Head and neck cancer	140-149, 140-229	C00-C96, C07-C14, C32-C33
TTDC00033	Interleukin-12	Autoimmune diseases	279	D84.9, M35.9
TTDC00033	Interleukin-12	Crohn's disease	555	K50
TTDC00033	Interleukin-12	Guillain-Barre syndrome	.	.
TTDC00033	Interleukin-12	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
TTDC00033	Interleukin-12	Lupus erythematosus	695, 710.0	L51-L54, M32
TTDC00033	Interleukin-12	Psoriasis; Psoriatic disorders	696	L40
TTDC00033	Interleukin-12	Rheumatoid arthritis	710-719, 714	M05-M06
TTDR00034	Prostaglandin E2 receptor, EP3 subtype	Asthma	493	J45
TTDC00034	Somatostatin receptor type 4	Solid tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDS00035	Beta adrenergic receptor	Non-insulin-dependent diabetes mellitus	250	E08-E13
TTDS00035	Beta adrenergic receptor	Obesity	278	E66
TTDS00035	Beta adrenergic receptor	Schizophrenia	295, 710.0	F20, M32
TTDR00035	Sodium/hydrogen exchanger 3	Renal inflammation	.	.
TTDS00036	Beta-1 adrenergic receptor	Anxiety disorders	300	F40-F42
TTDS00036	Beta-1 adrenergic receptor	Asthma	493	J45
TTDS00036	Beta-1 adrenergic receptor	Cardiac arrhythmias	427	I47-I49
TTDS00036	Beta-1 adrenergic receptor	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDS00036	Beta-1 adrenergic receptor	Coronary heart disease	414	I25.1
TTDS00036	Beta-1 adrenergic receptor	Dilated cardiomyopathy	359.4-359.9, 425.4, 728-728	G71-G72, I42.0, M60-M63
TTDS00036	Beta-1 adrenergic receptor	Glaucoma	365	H40-H42
TTDS00036	Beta-1 adrenergic receptor	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDR00036	Ras-related protein Rab-9A	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
TTDS00037	Beta-2 adrenergic receptor	Anxiety disorders	300	F40-F42
TTDS00037	Beta-2 adrenergic receptor	Asthma	493	J45
TTDS00037	Beta-2 adrenergic receptor	Cardiac arrhythmias	427	I47-I49
TTDS00037	Beta-2 adrenergic receptor	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
TTDS00037	Beta-2 adrenergic receptor	Depression	311	F32
TTDS00037	Beta-2 adrenergic receptor	Glaucoma	365	H40-H42
TTDS00037	Beta-2 adrenergic receptor	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDS00037	Beta-2 adrenergic receptor	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
TTDS00037	Beta-2 adrenergic receptor	Multiple sclerosis	340	G35
TTDS00037	Beta-2 adrenergic receptor	Obstructive airway disease	.	.
TTDS00037	Beta-2 adrenergic receptor	Respiratory distress syndrome	518.5, 518.82	J80
TTDS00037	Beta-2 adrenergic receptor	Skeletal muscle wasting	.	.
TTDS00037	Beta-2 adrenergic receptor	Skeletal muscle weakness	728.87	M62.8
TTDC00037	Prostaglandin E2 receptor EP3 subtype	Peripheral vascular disease	443.9	I73.9
TTDR00037	Scytalone dehydratase	Fungal diseases	110-118	B35-B49
TTDR00038	Manganese ABC transporter substrate-binding lipoprotein	Pneumococcal disease	.	.
TTDS00038	Noradrenergic re-uptake	Depression	311	F32
TTDS00038	Noradrenergic re-uptake	Obesity	278	E66
TTDS00038	Noradrenergic re-uptake	Post-anaesthetic shivering	.	.
TTDS00038	Noradrenergic re-uptake	St John's Wort	.	.
TTDC00038	Voltage-dependent anion-selective channel protein 2	Solid tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDS00039	Cyclooxygenase	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDS00039	Cyclooxygenase	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
TTDC00039	Glycine receptor	Tobacco dependence	305.1	F17
TTDR00039	Sensor-like histidine kinase senX3	Tuberculosis	010-018	A15-A19
TTDR00040	Forkhead box protein O1A	Cancer	140-229	C00-C96
TTDC00040	Neuropeptide Y receptor type 2	Obesity	278	E66
TTDS00040	Prostaglandin G/H synthase 1	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDS00040	Prostaglandin G/H synthase 1	Chronic inflammatory diseases	.	.
TTDC00041	Parathyroid hormone receptor	Menopause	627.2	N95.0
TTDC00041	Parathyroid hormone receptor	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
TTDC00041	Parathyroid hormone receptor	Psoriasis; Psoriatic disorders	696	L40
TTDS00041	Prostaglandin G/H synthase 2	Abdominal aortic aneurysm	442	I72
TTDS00041	Prostaglandin G/H synthase 2	Adenomatous polyposis	153, 154	C18-C21
TTDS00041	Prostaglandin G/H synthase 2	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDS00041	Prostaglandin G/H synthase 2	Analgesics	338	R52
TTDS00041	Prostaglandin G/H synthase 2	Arthritis	710-719	M00-M25
TTDS00041	Prostaglandin G/H synthase 2	Bladder cancer	140-229, 188	C00-C96, C67
TTDS00041	Prostaglandin G/H synthase 2	Breast cancer	174, 175, 217	C50, D24
TTDS00041	Prostaglandin G/H synthase 2	Cancer	140-229	C00-C96
TTDS00041	Prostaglandin G/H synthase 2	Carcinoma in situ	230-234	D00-D09
TTDS00041	Prostaglandin G/H synthase 2	Carpal tunnel syndrome	354	G56.0
TTDS00041	Prostaglandin G/H synthase 2	Colorectal cancer	153, 154	C18-C21
